iter	group	total	data_loss	smooth_raw	smooth_norm
1	1	152767.24549619306	6271.598986399986	3.7875866460768005e10	24.357579977366235
2	1	121395.67001982113	5174.775252722756	1.540748555080131e10	23.4581193029973
3	1	103441.0298804011	4634.470078702679	4.931584364833134e9	22.31892614554914
4	1	96022.56213266155	4459.865055405674	2.2391762461970205e9	21.529373887944292
5	1	92948.55083403886	4360.175667021644	1.8100423185518239e9	21.3166160623662
6	1	92754.07979800279	4354.464327095654	1.7800658878732414e9	21.299916216224467
7	1	92680.64907703185	4352.522408837937	1.7669999021736748e9	21.292548974921022
8	1	92251.34134480545	4339.428186517127	1.706773155178132e9	21.257870380995378
9	1	91970.2070547023	4326.8488473033385	1.701372966235286e9	21.254701389250453
10	1	91689.52035852043	4314.561565211417	1.693696157634559e9	21.250179053236565
11	1	87722.74687474739	4150.156575320163	1.5112663963032298e9	21.13621380933201
12	1	87652.85550322101	4146.911857881292	1.510790127977428e9	21.135898614479817
13	1	87627.04263414335	4145.7121494143075	1.510624414970157e9	21.13578892214526
14	1	87365.99115245847	4134.276269078534	1.5035765635412838e9	21.13111248263556
15	1	84660.04118984171	4012.9502796353313	1.4512748728154955e9	21.095708229720458
16	1	83004.13648393283	3947.350005529652	1.3546550405756536e9	21.02681267626543
17	1	82588.2084485849	3937.1118029856357	1.2873493834054134e9	20.975851199896244
18	1	81350.5000549136	3909.588244945585	1.0872807995938962e9	20.806945737018623
19	1	80606.06536840837	3894.2987474439146	9.745439362934413e8	20.697480161881632
20	1	79876.33064182363	3863.9726868363214	9.49147093571003e8	20.671074343057384
21	1	79324.52466424184	3855.2638409220813	8.618923850214807e8	20.574640977471834
22	1	79072.55928214377	3851.1967619144184	8.250419468610555e8	20.530944787686476
23	1	78806.27442955124	3847.848898259557	7.837536221623577e8	20.479605271479493
24	1	77010.37090964668	3823.7789198646	5.574367958756238e8	20.138859684244927
25	1	76725.06713830013	3824.206558496473	5.161989776391451e8	20.062002864694996
26	1	76674.64809945764	3824.6782601032546	5.0817981856440145e8	20.04634591646087
27	1	76580.8469762139	3821.6075487040757	5.039105252647027e8	20.03790928103876
28	1	76428.01340642209	3815.96207870231	4.9869459496429133e8	20.027504432206747
29	1	76306.96580016767	3814.472861496374	4.869100864806963e8	20.00359003665144
30	1	76255.6461139865	3813.7298769547956	4.822777435241859e8	19.994030737435303
31	1	75996.3912861254	3793.957723442225	4.998911480306967e8	20.029900928746915
32	1	73672.7694927818	3812.6161368933235	2.4638760409961835e8	19.322416480320882
33	1	73490.10913750003	3826.902676130438	2.185549383959597e8	19.202547975202062
34	1	73366.49962075321	3826.180196098382	2.1237578780719203e8	19.173867847459515
35	1	69226.23699276442	3995.332592964799	3.3457181947437644e7	17.32577702844108
36	1	68824.5289583778	3988.8882672551713	3.111071568051931e7	17.253062873447504
37	1	67458.25922436826	3798.1019198290683	5.165228689977312e7	17.760045029408843
38	1	67061.57318099	3786.636389381568	4.908500261755337e7	17.709064100435707
39	1	66880.80762521763	3775.788513394313	4.9232787203491054e7	17.712070366087296
40	1	66825.27340079869	3773.2894350501706	4.908598654899642e7	17.709084145694526
41	1	64778.55089196671	3706.2015383791313	3.893565715781565e7	17.477421025181737
42	1	62873.15403751146	3683.808124988978	2.581418078496283e7	17.06643454172157
43	1	62753.34905458605	3683.0755689495395	2.5072964266031194e7	17.03730070271518
44	1	61394.62358787714	3608.8049256388426	2.443318567671021e7	17.01145283492536
45	1	60770.43925047353	3574.468573355119	2.416102886682171e7	17.000251515671405
46	1	60693.66453858704	3571.140986970848	2.402473825541937e7	16.99459461808571
47	1	60672.402128906724	3570.3973165203997	2.3966783288174935e7	16.992179399999156
48	1	60195.72225258146	3531.3770897817453	2.526581182192682e7	17.044962728466874
49	1	59484.34343566938	3517.2139860164953	2.210572115521169e7	16.91134700878686
50	1	59216.08380497864	3509.5586807521763	2.124857935750271e7	16.87180059733531
51	1	58856.71739143836	3486.4703557697867	2.1433424680514976e7	16.88046216245204
52	1	58799.05512832468	3482.6366566300185	2.147689504961057e7	16.882488266393462
53	1	58101.20967658535	3424.425298186583	2.3340574232408922e7	16.96570378745101
54	1	57900.80179325505	3414.1926763320153	2.3158118145809893e7	16.957855952869032
55	1	57682.79025125668	3405.1853719947976	2.2718534823332407e7	16.938691661328093
56	1	57631.69099466164	3403.973101533294	2.251546152114917e7	16.929712809893203
57	1	57605.71760471611	3402.659790906646	2.2490739995102353e7	16.9286142266891
58	1	57562.03610956448	3400.3783350096833	2.2457314748865332e7	16.927126943086336
59	1	57386.62202319642	3392.1357212752596	2.222101286218544e7	16.916548924493547
60	1	57264.82449517842	3385.8540535135908	2.2119343356002826e7	16.91196304864446
61	1	57194.27251893033	3382.6959302297146	2.2007557005559146e7	16.906896452592573
62	1	57176.758780848424	3381.863754101789	2.1985160467186976e7	16.905878259510004
63	1	56771.296302812596	3362.421580192843	2.148897693149507e7	16.88305066076117
64	1	56731.761117168724	3358.8341002011425	2.1623982349591125e7	16.889313550696464
65	1	56626.42474669737	3347.71102822087	2.216373493292304e7	16.9139679495459
66	1	56457.69319341275	3345.8323811704863	2.1274827967862476e7	16.8730351462741
67	1	56375.07494339263	3343.7563538059767	2.097419561812626e7	16.8588034600292
68	1	56337.4336121476	3341.032402412705	2.1026264807670075e7	16.86128291933472
69	1	56264.94186920375	3322.3023943324874	2.2624116347293478e7	16.934526990314325
70	1	56205.4939921009	3319.301951109917	2.256534554148759e7	16.93192590428742
71	1	56080.02886028349	3302.942460796055	2.3624831599355813e7	16.97780890324908
72	1	55958.451065625224	3296.5039691646384	2.3537132758985687e7	16.974089849446035
73	1	55893.33308191603	3293.955703875637	2.338144139576843e7	16.96745316291062
74	1	55871.20160718202	3292.768703399278	2.3367315601796262e7	16.96684883478259
75	1	55836.69717995701	3290.1526032884985	2.3437627567011345e7	16.969853304539242
76	1	55412.39376648368	3262.6026851701645	2.3750335228566263e7	16.98310720323231
77	1	55378.33793756045	3260.628585698692	2.3746493156394947e7	16.982945420969774
78	1	55344.628553559654	3258.277801240431	2.379184045911675e7	16.984853242007134
79	1	55303.82901217228	3256.1753662356796	2.375469389756267e7	16.983290706709262
80	1	55259.356289352756	3249.474396617147	2.4267027129418902e7	17.004629078622777
81	1	55072.78616425122	3219.6751375048107	2.6804368983252604e7	17.104075453957638
82	1	55066.063645704555	3223.577300920186	2.6200373274106707e7	17.081284215733145
83	1	55058.20187506321	3222.840856219148	2.623875991711148e7	17.082748261666985
84	1	54723.13741948212	3185.940053539407	2.8787423905540813e7	17.17544917979159
85	1	54712.10709618685	3184.5908238066686	2.889741629335237e7	17.17926274747199
86	1	54684.370456429155	3182.85788336732	2.8915904778591696e7	17.179902340061616
87	1	54665.02225377497	3180.8203724676964	2.905859865548067e7	17.18482499248946
88	1	54496.65449418778	3161.688169021842	3.057118432693162e7	17.235568434592924
89	1	54471.40338160152	3152.087047525917	3.196203536891267e7	17.28005936171918
90	1	54238.35284163372	3162.1465169512003	2.8102932274095893e7	17.15138448025106
91	1	53783.770721030014	3157.178206780592	2.500015907502728e7	17.03439274581332
92	1	53175.591621954525	3119.329352993326	2.5295147799904164e7	17.0461231487393
93	1	53147.2300846124	3118.4929327519517	2.5181012062135305e7	17.04160077886788
94	1	53048.447425327766	3115.997295973389	2.4730518537709013e7	17.023548607240127
95	1	52957.59879041927	3109.8290793250794	2.4843400608347654e7	17.028102706156623
96	1	52804.41861715838	3103.3344928696097	2.4504833746714327e7	17.01438095183896
97	1	52790.75496663563	3102.5909005045305	2.449684885324234e7	17.014055049007915
98	1	52716.997177797	3098.431651451273	2.4473236983111173e7	17.013090710409863
99	1	52612.7244853885	3092.7958447290125	2.440697992069771e7	17.010379711679082
100	1	52050.09635666019	3063.565210321301	2.38916668977413e7	16.989040290737364
101	1	51930.44457731817	3057.9329560481438	2.370520207747761e7	16.981205078959416
102	1	51747.82857174156	3049.692108950339	2.337585187647501e7	16.96721407638833
103	1	51724.45046238174	3048.299094748189	2.33778369788578e7	16.967298993853994
104	1	51651.74882824769	3042.7232618258345	2.3546789258655053e7	16.97450003191984
105	1	51477.12247471679	3030.164360871187	2.3848403013693873e7	16.987227813463182
106	1	50457.90417744594	2990.9840491806613	2.1189177045012094e7	16.869001092539488
107	1	50423.97700954376	2989.3496575698446	2.1144179378671426e7	16.866875218898052
108	1	50294.23947176721	2982.052412369968	2.1097090726662543e7	16.86464570868698
109	1	50268.44925762669	2980.4454362206425	2.110638313910113e7	16.86508607113763
110	1	50259.4546064821	2979.7103649679902	2.1130502486366615e7	16.866228170017795
111	1	50217.39696067885	2963.6050776816946	2.283258694397798e7	16.943699325445156
112	1	50214.122805508785	2963.495519113777	2.2821666585993905e7	16.94322093154544
113	1	50152.64946076554	2962.102843397534	2.2531710376327347e7	16.930434225031977
114	1	50129.477681371514	2961.1826124928743	2.2474024620685887e7	16.927870738968025
115	1	50117.18092427629	2960.755431732948	2.243561037809595e7	16.926160003534097
116	1	49618.79875601593	2928.9418478730745	2.2745131819069937e7	16.93986169448802
117	1	49596.26742069436	2928.039305082561	2.2688949180941924e7	16.937388543693373
118	1	49452.2852400778	2922.562041628436	2.2294878786950674e7	16.919867559247177
119	1	48838.38126388437	2900.5751801742313	2.051119952448662e7	16.83648161319878
120	1	48677.69557240315	2894.3205635133086	2.012251239862539e7	16.817349766107142
121	1	48651.09709622041	2893.5969008580137	2.0022429944031484e7	16.812363700311646
122	1	48647.30343428036	2893.2293568773134	2.003894885408718e7	16.813188380414402
123	1	48473.383561389805	2886.2403487069355	1.9651132470379174e7	16.793645526699244
124	1	48385.258964928216	2883.1939464359457	1.9400820977926806e7	16.78082594158799
125	1	48267.099393450495	2877.772767300708	1.92184313533534e7	16.7713803428455
126	1	48264.47141003204	2877.6542770493356	1.9214153445993897e7	16.771157724075543
127	1	48238.584243736084	2877.2771331161975	1.908396586967306e7	16.764359057190266
128	1	47841.06512912011	2854.7758634915162	1.8948894219363075e7	16.757256135249925
129	1	47733.11331088579	2845.8845619922117	1.9224206258759405e7	16.771680785573064
130	1	47692.57413993143	2840.885505931415	1.9519518451227784e7	16.78692546913815
131	1	47688.363089991304	2841.0794958299566	1.9468279039289135e7	16.784296983061093
132	1	47659.391987050054	2837.8799900758663	1.963869644004011e7	16.793012485981112
133	1	47655.34415151663	2836.1543926392965	1.9812095968490474e7	16.80180321663626
134	1	47616.715645946	2833.018540427401	1.9910684187238015e7	16.806767039449852
135	1	47593.43222692721	2831.477978817406	1.9929045791474544e7	16.80768881304352
136	1	47512.30118770313	2828.4456025230625	1.9717663972425163e7	16.797025440305678
137	1	47464.81641321028	2824.6582205063487	1.9830622793513615e7	16.802737906634853
138	1	47325.366687769856	2808.7640605481565	2.075252287353541e7	16.84817838151698
139	1	47315.47026414273	2807.119310475945	2.0884654135957625e7	16.854525195372055
140	1	47045.1868078231	2778.0455372972597	2.260394176301065e7	16.933634863326617
141	1	47037.84991468352	2777.658954230831	2.2597511806709066e7	16.93335036113312
142	1	47031.14432978404	2777.9701415232917	2.2500307582804803e7	16.92903953742809
143	1	46956.0896141872	2777.0641311626487	2.2021642553637035e7	16.907536280193323
144	1	46780.12590982767	2772.50595473299	2.1250003234720394e7	16.871867605556826
145	1	46647.09386328577	2762.3797011131337	2.154299349430208e7	16.885561193773892
146	1	46590.669670241565	2758.5277973858015	2.161042703841956e7	16.888686489436342
147	1	46586.686775552764	2758.1127793242463	2.1634154375906255e7	16.88978384494733
148	1	46555.73050638667	2756.2754917639368	2.1634758430842154e7	16.88981176591399
149	1	46520.82751084285	2752.983864944446	2.179800818549432e7	16.897329155947165
150	1	46505.1991497738	2751.746904958049	2.1839827879496947e7	16.89924582783451
151	1	46498.99193341001	2751.6791716628973	2.1799684159940936e7	16.89740603957826
152	1	46462.730488722125	2747.9776507709785	2.200923019726129e7	16.90697247775521
153	1	46411.496440686824	2745.1893779233983	2.1976463462892912e7	16.905482596036727
154	1	46401.66738769712	2745.342498435749	2.1877283605637863e7	16.90095937815993
155	1	46374.087104035374	2729.647836871752	2.3867699942737993e7	16.98803663601576
156	1	46305.09229123702	2729.38995912059	2.3309307851265326e7	16.96436331736068
157	1	46303.46594058262	2729.3043994068375	2.3307815048256166e7	16.96429927209504
158	1	46289.99866900993	2727.8733271046626	2.3400373506552182e7	16.968262542019012
159	1	46277.708214312785	2727.103379516225	2.3407024368266243e7	16.96854672195897
160	1	46269.05278085709	2726.663227686111	2.3396843171990443e7	16.968111664047242
161	1	46229.66405662632	2733.6592476257315	2.2082042494653143e7	16.91027527938174
162	1	46225.03381913615	2733.4240338767095	2.2076772102077797e7	16.910036577657134
163	1	46217.2134567071	2729.7795870890304	2.2516280021764673e7	16.9297491620567
164	1	46169.859929085804	2726.075366117121	2.2643519688671745e7	16.935384262496648
165	1	46149.15231667337	2722.1354332661735	2.3029586795085937e7	16.952290329607507
166	1	46111.41967984569	2722.628231621913	2.2643035200872697e7	16.935362865956318
167	1	46104.72788325315	2722.0933530751	2.266273388327474e7	16.93623245426887
168	1	46095.54491578802	2721.0289128386685	2.273652730793055e7	16.939483321693043
169	1	46092.02799991158	2721.487322754516	2.264246250797614e7	16.935337573404592
170	1	46084.11388497388	2720.8708816514563	2.266349422386781e7	16.93626600396514
171	1	46066.42201734507	2719.688223435617	2.268299485774047e7	16.937126076507457
172	1	46015.6561421855	2718.1563411034854	2.2476825993511915e7	16.927995380561736
173	1	45997.16112480984	2718.1794302566077	2.2321198423991576e7	16.92104738686714
174	1	45960.26165942512	2720.4112846795347	2.171688072781264e7	16.89360042981672
175	1	45943.27362288174	2722.770734648549	2.126814482423606e7	16.87272096307331
