参数类型	参数名	对应原始参数
新定义参数	k_act_CD4_mDC_f_eff	k_act_CD4_mDC_f, k_act_CD4_mDC_m
新定义参数	k_act_NK_IFN1_d_eff	k_act_NK_IFN1_d, k_act_NK_IFN1_m
新定义参数	k_act_NK_IFN1_f_eff	k_act_NK_IFN1_f, k_act_NK_IFN1_m
新定义参数	k_act_NK_IFN_g_d_eff	k_act_NK_IFN_g_d, k_act_NK_IFN_g_m
新定义参数	k_act_NK_IFN_g_f_eff	k_act_NK_IFN_g_f, k_act_NK_IFN_g_m
新定义参数	k_act_NK_IL_12_d_eff	k_act_NK_IL_12_d, k_act_NK_IL_12_m
新定义参数	k_act_NK_IL_12_f_eff	k_act_NK_IL_12_f, k_act_NK_IL_12_m
新定义参数	k_act_NK_IL_2_d_eff	k_act_NK_IL_2_d, k_act_NK_IL_2_m
新定义参数	k_act_NK_IL_2_f_eff	k_act_NK_IL_2_f, k_act_NK_IL_2_m
新定义参数	k_act_NK_f_div_m	k_act_NK_f, k_act_NK_m
新定义参数	k_iTreg_IL_10_eff	k_iTreg_mDC_f, k_iTreg_IL_10_f, k_iTreg_IL_10_m, k_iTreg_IL_1_m
新定义参数	k_iTreg_TGFbeta_eff	k_iTreg_mDC_f, k_iTreg_TGFbeta_f, k_iTreg_TGFbeta_m, k_iTreg_IL_1_m
新定义参数	k_iTreg_f_div_m	k_iTreg_f, k_iTreg_m
新定义参数	k_iTreg_mDC_d_TGFbeta_eff	k_iTreg_mDC_d, k_iTreg_TGFbeta_m
新定义参数	k_iTreg_mDC_d_eff	k_iTreg_mDC_d, k_iTreg_IL_10_m
新定义参数	k_mDC_Antigen_IL10_eff	k_mDC_Antigen_f, k_mDC_IL_10_m
新定义参数	k_mDC_GMCSF_IL10_eff	k_mDC_GMCSF_f, k_mDC_GMCSF_m, k_mDC_IL_10_m
新定义参数	k_mDC_GMCSF_d_eff	k_mDC_GMCSF_d, k_mDC_GMCSF_m, k_mDC_IL_10_m
新定义参数	k_mDC_f_div_m	k_mDC_f, k_mDC_m
新定义参数	k_nDC_f_div_m	k_nDC_f, k_nDC_m
新定义参数	k_nTreg_mDC_f_eff	k_nTreg_mDC_f, k_nTreg_mDC_m
新定义参数	k_nTreg_mDC_f_eff_div_m	k_nTreg_mDC_f, k_nTreg_mDC_m, k_nTreg_m
新定义参数	k_naive_CD4_IL_15_d_eff	k_naive_CD4_IL_15_d, k_naive_CD4_IL_15_m
新定义参数	k_naive_CD4_IL_15_eff	k_naive_CD4_IL_15_f, k_naive_CD4_IL_15_m
新定义参数	k_naive_CD4_IL_15_eff_div_m	k_naive_CD4_IL_15_f, k_naive_CD4_IL_15_m, k_CD4_m
新定义参数	k_naive_CD4_IL_7_d_eff	k_naive_CD4_IL_7_d, k_naive_CD4_IL_7_m
新定义参数	k_naive_CD4_IL_7_eff	k_naive_CD4_IL_7_f, k_naive_CD4_IL_7_m
新定义参数	k_naive_CD4_IL_7_eff_div_m	k_naive_CD4_IL_7_f, k_naive_CD4_IL_7_m, k_CD4_m
新定义参数	k_pDC_f_div_m	k_pDC_f, k_pDC_m
