方程编号	变量名	参数类型	参数名	对应原始参数
18	act_CD4	原有参数	k_act_CD4_CTL_basal_f	-
18	act_CD4	原有参数	k_act_CD4_CTL_antigen_f	-
18	act_CD4	原有参数	k_TFH_mDC_f	-
18	act_CD4	原有参数	k_TFH_mDC_Antigen_f	-
18	act_CD4	原有参数	k_act_CD4_d	-
18	act_CD4	新定义参数	k_act_CD4_mDC_f_eff	k_act_CD4_mDC_f, k_act_CD4_mDC_m
18	act_CD4	新定义参数	k_act_CD4_IL_2_f_eff	k_act_CD4_IL_2_f, k_act_CD4_IL_2_m
18	act_CD4	新定义参数	k_act_CD4_f_div_m	k_act_CD4_f, k_act_CD4_m
18	act_CD4	新定义参数	k_act_CD4_IL_15_eff	k_act_CD4_IL_15_f, k_act_CD4_IL_15_m
18	act_CD4	新定义参数	k_act_CD4_IL_15_eff_div_m	k_act_CD4_IL_15_f, k_act_CD4_IL_15_m, k_act_CD4_m
18	act_CD4	新定义参数	k_act_CD4_IL_7_eff	k_act_CD4_IL_7_f, k_act_CD4_IL_7_m
18	act_CD4	新定义参数	k_act_CD4_IL_7_eff_div_m	k_act_CD4_IL_7_f, k_act_CD4_IL_7_m, k_act_CD4_m
18	act_CD4	新定义参数	k_Th2_f_eff	k_Th2_f, k_Th2_TGFbeta_m, k_Th2_IL_10_m, k_Th2_IL_12_m
18	act_CD4	新定义参数	k_Th2_IL_4_eff	k_Th2_IL_4_f, k_Th2_IL_4_m, k_Th2_TGFbeta_m, k_Th2_IL_10_m, k_Th2_IL_12_m
18	act_CD4	新定义参数	k_Th2_IL_33_eff	k_Th2_IL_33_f, k_Th2_IL_33_m, k_Th2_TGFbeta_m, k_Th2_IL_10_m, k_Th2_IL_12_m
18	act_CD4	新定义参数	k_iTreg_TGFbeta_eff	k_iTreg_mDC_f, k_iTreg_TGFbeta_f, k_iTreg_TGFbeta_m, k_iTreg_IL_1_m
18	act_CD4	新定义参数	k_iTreg_IL_10_eff	k_iTreg_mDC_f, k_iTreg_IL_10_f, k_iTreg_IL_10_m, k_iTreg_IL_1_m
18	act_CD4	新定义参数	k_act_CD4_IFN1_f_eff	k_act_CD4_IFN1_f, k_IFN1_CD4_CTL_m
18	act_CD4	新定义参数	k_TFH_IFN1_f_eff	k_TFH_IFN1_f, k_TFH_IFN1_m
18	act_CD4	新定义参数	k_TFH_IL_6_f_eff	k_TFH_IL_6_f, k_TFH_IL_6_m
19	Th2	原有参数	k_Th2_f	-
19	Th2	原有参数	k_Th2_d	-
19	Th2	新定义参数	k_Th2_f_eff	k_Th2_f, k_Th2_TGFbeta_m, k_Th2_IL_10_m, k_Th2_IL_12_m
19	Th2	新定义参数	k_Th2_IL_4_eff	k_Th2_IL_4_f, k_Th2_IL_4_m, k_Th2_TGFbeta_m, k_Th2_IL_10_m, k_Th2_IL_12_m
19	Th2	新定义参数	k_Th2_IL_33_eff	k_Th2_IL_33_f, k_Th2_IL_33_m, k_Th2_TGFbeta_m, k_Th2_IL_10_m, k_Th2_IL_12_m
19	Th2	新定义参数	k_Th2_f_div_m	k_Th2_f, k_Th2_m
20	iTreg	原有参数	k_iTreg_f	-
20	iTreg	原有参数	k_iTreg_d	-
20	iTreg	新定义参数	k_iTreg_TGFbeta_eff	k_iTreg_mDC_f, k_iTreg_TGFbeta_f, k_iTreg_TGFbeta_m, k_iTreg_IL_1_m
20	iTreg	新定义参数	k_iTreg_IL_10_eff	k_iTreg_mDC_f, k_iTreg_IL_10_f, k_iTreg_IL_10_m, k_iTreg_IL_1_m
20	iTreg	新定义参数	k_iTreg_f_div_m	k_iTreg_f, k_iTreg_m
21	CD4_CTL	原有参数	k_act_CD4_CTL_basal_f	-
21	CD4_CTL	原有参数	k_act_CD4_CTL_antigen_f	-
21	CD4_CTL	原有参数	k_CD4_CTL_f	-
21	CD4_CTL	原有参数	k_CD4_CTL_d	-
21	CD4_CTL	新定义参数	k_act_CD4_IFN1_f_eff	k_act_CD4_IFN1_f, k_IFN1_CD4_CTL_m
21	CD4_CTL	新定义参数	k_CD4_CTL_f_div_m	k_CD4_CTL_f, k_CD4_CTL_m
22	nTreg	原有参数	k_nTreg_d	-
22	nTreg	新定义参数	k_nTreg_mDC_f_eff	k_nTreg_mDC_f, k_nTreg_mDC_m
22	nTreg	新定义参数	k_nTreg_mDC_f_eff_div_m	k_nTreg_mDC_f, k_nTreg_mDC_m, k_nTreg_m
23	TFH	原有参数	k_TFH_mDC_f	-
23	TFH	原有参数	k_TFH_mDC_Antigen_f	-
23	TFH	原有参数	k_TFH_f	-
23	TFH	原有参数	k_TFH_d	-
23	TFH	新定义参数	k_TFH_IFN1_f_eff	k_TFH_IFN1_f, k_TFH_IFN1_m
23	TFH	新定义参数	k_TFH_IL_6_f_eff	k_TFH_IL_6_f, k_TFH_IL_6_m
23	TFH	新定义参数	k_TFH_f_div_m	k_TFH_f, k_TFH_m
24	NK	原有参数	k_NK_f	-
24	NK	原有参数	k_act_NK_base_f	-
24	NK	原有参数	k_NK_d	-
24	NK	新定义参数	k_NK_f_div_m	k_NK_f, k_NK_m
24	NK	新定义参数	k_act_NK_IL_12_f_eff	k_act_NK_IL_12_f, k_act_NK_IL_12_m
24	NK	新定义参数	k_act_NK_IL_2_f_eff	k_act_NK_IL_2_f, k_act_NK_IL_2_m
24	NK	新定义参数	k_act_NK_IFN1_f_eff	k_act_NK_IFN1_f, k_act_NK_IFN1_m
24	NK	新定义参数	k_act_NK_IFN_g_f_eff	k_act_NK_IFN_g_f, k_act_NK_IFN_g_m
25	act_NK	原有参数	k_act_NK_base_f	-
25	act_NK	原有参数	k_act_NK_f	-
25	act_NK	原有参数	k_act_NK_d	-
25	act_NK	新定义参数	k_act_NK_IL_12_f_eff	k_act_NK_IL_12_f, k_act_NK_IL_12_m
25	act_NK	新定义参数	k_act_NK_IL_2_f_eff	k_act_NK_IL_2_f, k_act_NK_IL_2_m
25	act_NK	新定义参数	k_act_NK_IFN1_f_eff	k_act_NK_IFN1_f, k_act_NK_IFN1_m
25	act_NK	新定义参数	k_act_NK_IFN_g_f_eff	k_act_NK_IFN_g_f, k_act_NK_IFN_g_m
25	act_NK	新定义参数	k_act_NK_f_div_m	k_act_NK_f, k_act_NK_m
26	Naive_B	原有参数	k_Naive_B_f	-
26	Naive_B	原有参数	k_Naive_B_Antigen_f	-
26	Naive_B	原有参数	k_Act_B_basal_f	-
26	Naive_B	原有参数	k_Act_B_Antigen_f	-
26	Naive_B	原有参数	k_Naive_B_d	-
26	Naive_B	新定义参数	k_Naive_B_f_div_m	k_Naive_B_f, k_Naive_B_m
26	Naive_B	新定义参数	k_Naive_B_Antigen_f_div_m	k_Naive_B_Antigen_f, k_Naive_B_m
27	Act_B	原有参数	k_Act_B_basal_f	-
27	Act_B	原有参数	k_Act_B_Antigen_f	-
27	Act_B	原有参数	k_Act_B_f	-
27	Act_B	原有参数	k_Act_B_Antigen_pro_f	-
27	Act_B	原有参数	k_Act_B_d	-
27	Act_B	新定义参数	k_Act_B_f_div_m	k_Act_B_f, k_Act_B_m
27	Act_B	新定义参数	k_Act_B_Antigen_pro_f_div_m	k_Act_B_Antigen_pro_f, k_Act_B_m
28	TD_IS_B	原有参数	k_TD_base_f	-
28	TD_IS_B	原有参数	k_TD_IL_4_f	-
28	TD_IS_B	原有参数	k_TD_f	-
28	TD_IS_B	原有参数	k_TD_d	-
28	TD_IS_B	新定义参数	k_TD_f_div_m	k_TD_f, k_TD_m
29	TI_IS_B	原有参数	k_TI_base_f	-
29	TI_IS_B	原有参数	k_TI_IFN_g_f	-
29	TI_IS_B	原有参数	k_TI_IL_10_f	-
29	TI_IS_B	原有参数	k_TI_f	-
29	TI_IS_B	原有参数	k_TI_d	-
29	TI_IS_B	新定义参数	k_TI_f_div_m	k_TI_f, k_TI_m
30	IgG4	原有参数	k_IgG4_TI_f	-
30	IgG4	原有参数	k_IgG4_TD_f	-
30	IgG4	原有参数	k_IgG4_d	-
